Designator,Mid X,Mid Y,Rotation,Layer
C1,146.8628,-72.2376,270.0,top
C10,182.88,-74.4728,90.0,top
C11,160.429,-81.6102,0.0,top
C12,175.3844,-72.0852,180.0,top
C13,171.8538,-72.0852,180.0,top
C14,168.3512,-72.136,180.0,top
C15,164.8714,-72.136,180.0,top
C16,161.3408,-72.1614,180.0,top
C17,157.6096,-82.931,0.0,top
C2,146.8628,-70.2056,270.0,top
C3,175.8442,-73.533,180.0,top
C4,168.8338,-81.026,0.0,top
C5,170.561,-85.598,180.0,top
C6,168.6052,-85.598,0.0,top
C7,160.3502,-84.2264,0.0,top
C8,162.2552,-84.2264,0.0,top
C9,183.9722,-74.4448,90.0,top
D1,175.4112,-70.2388,0.0,top
D2,171.8304,-70.2222,0.0,top
D3,168.2992,-70.2896,0.0,top
D4,164.8194,-70.315,0.0,top
D5,161.3142,-70.3072,0.0,top
J1,163.2712,-88.9508,0.0,bottom
J2,169.8752,-74.6252,90.0,top
P1,149.6396,-84.4276,270.0,top
R1,155.4988,-82.9818,0.0,top
R10,172.8724,-84.6836,0.0,top
R11,160.3736,-79.7306,180.0,top
R2,155.448,-86.1822,0.0,top
R3,176.7078,-74.5236,0.0,top
R4,155.3972,-85.1408,0.0,top
R5,155.4734,-84.1756,0.0,top
R6,172.847,-85.7758,0.0,top
R7,155.4714,-78.359,0.0,top
R8,151.9428,-71.1942,90.0,top
R9,153.7716,-71.8292,90.0,top
SW1,179.4764,-72.4662,270.0,top
SW2,170.7642,-87.9856,0.0,top
U1,166.4691,-81.011,0.0,top
U2,149.1742,-71.1942,0.0,top
U3,158.4452,-86.487,180.0,top
U4,179.762,-82.4546,270.0,top
U5,157.1553,-80.6602,180.0,top
